简码：一	y
翻译：茴香酒	anisette
翻译：草地;牧场	meadow
翻译：草笠竹;笼葵	morel
翻译：草蜻蛉	lacewing
翻译：荐骨;骶骨	sacrum
翻译：荒凉的	desolate
翻译：荡妇;嬉戏	wanton
翻译：荡妇NUM	floozy
翻译：荨麻；激怒	nettle
翻译：药品；泻药	physic
翻译：荷兰人	Dutchman
翻译：莱茵河的	rhenish
翻译：获取促成	procure
翻译：获得;取得	obtain
翻译：获胜；收益；胜利	win
翻译：菌类;蘑菇	fungus
翻译：菜炖牛肉	goulash
翻译：萌芽；发芽	sprout
翻译：萎缩的	atrophic
翻译：萤火虫	glowworm
翻译：萧萧	whistling
翻译：萨克斯号	saxhorn
翻译：落后;滞后;延迟	lag
翻译：葡萄;葡萄树	grape
翻译：葡萄园	vineyard
翻译：葡萄牙	portugal
翻译：葡萄牙首都	Lisbon
翻译：葡萄酒商	vintner
翻译：葡萄酒；暗红色	wine
翻译：葬礼	obsequies
翻译：蒙大拿	montanan
翻译：蒽	anthracene
翻译：蓄意的	prepense
翻译：蓝宝石	sapphire
翻译：蔓延;摊开	sprawl
翻译：蔚蓝的	cerulean
翻译：蔬菜炖肉片	ragout
翻译：蕃茄酱等	ketchup
翻译：薄;细;瘦	thinly
翻译：薄暮;晚祷	vesper
翻译：薄荷油	menthene
翻译：薪资；补偿；付款	pay
翻译：藤丛	canebrake
翻译：藻类学	algology
翻译：蘑姑;木耳	agaric
翻译：虚假	phoniness
翻译：虚张声势	bravado
翻译：虚构的事	figment
翻译：虚胖	puffiness
翻译：虱子;寄生虫	louse
翻译：虽然;尽管	though
翻译：虾夷人;虾夷语	ainu
翻译：蚀船虫	woodworm
翻译：蚁窝	formicary
翻译：蚕丝蛋白	fibroin
翻译：蚯蚓	angleworm
翻译：蚯蚓粪	wormcast
翻译：蛋杯NUM	eggcup
翻译：蛋白石;猫眼石	opal
翻译：蛔虫	roundworm
翻译：蛙;法国人	froggy
翻译：蛛网；混乱	cobweb
翻译：蛹;水母	Aurelia
翻译：蜀癸属植物	althea
翻译：蜀葵	hollyhock
翻译：蜈蚣	centipede
翻译：蜗蝓鱼	lancelet
翻译：蜡嘴鸟	grosbeak
翻译：蜡烛;探针	bougie
翻译：蜡状的；苍白的	waxy
翻译：蜻蜓	dragonfly
翻译：蝇卵污染	flyblow
翻译：蝴蝶	butterfly
翻译：螺丝钻;大锥	auger
翻译：螺旋桨	airscrew
翻译：螺旋状的	helical
翻译：螺类;挑拣	winkle
翻译：螺纹；轮生体	whorl
翻译：螺线管	solenoid
翻译：蟑螂	cockroach
翻译：血族关系	kinship
翻译：血毒症	toxaemia
翻译：血清学	serology
翻译：血色素	haematin
翻译：行为;活动	doings
翻译：行为者;实干家	doer
翻译：行为；表演；法案	act
翻译：行军;进行曲	march
翻译：街灯柱	lamppost
翻译：衣着考究的	dressy
翻译：衣领;领口	collar
翻译：补偿；收回	recoup
翻译：补血药	haematic
翻译：表带	watchband
翻译：表明;表示	evince
翻译：表面虔诚	piosity
翻译：衰弱的	adynamic
翻译：衰老的	decrepit
翻译：衰退;衰落	fading
翻译：袖口	wristband
翻译：袜带；授勋	garter
翻译：被担保人	vouchee
翻译：被损坏的	damaged
翻译：被画像的人	sitter
翻译：被称为;名叫	hight
翻译：被邀请者	invitee
翻译：裁缝;缝纫	sewing
翻译：裂片；分裂	sliver
翻译：裂缝;裂隙	cranny
翻译：裂缝；裂开的	cleft
翻译：装;饰;整顿	dight
翻译：装入;包住	encase
翻译：装备；配备	outfit
翻译：装饰;修饰	bedeck
翻译：装饰;装	bedight
翻译：裤袜	pantyhose
翻译：裸体主义者	nudist
翻译：裸奔	streaking
翻译：裸露的；极简的	bare
翻译：裸麦;黑麦;绅士	rye
翻译：褐色；棕色的	Brown
翻译：褐铁矿	limonite
翻译：褶皱;起皱	pucker
翻译：襁褓包裹	swaddle
翻译：襞鱼科	frogfish
翻译：西洋杉;香柏	cedar
翻译：西洋镜	zoetrope
翻译：西班牙银币	peseta
翻译：西米;西米椰子	sago
翻译：要求者	demander
翻译：观点	viewpoint
翻译：观看者	beholder
翻译：规定	stipulate
翻译：视网膜的	retinal
翻译：觉醒	awakening
翻译：角石	hornstone
翻译：角膜银行	eyebank
翻译：解带;松带	ungird
翻译：解开皮带	unstrap
翻译：解开缠绕	untwist
翻译：解码;译解	decode
翻译：解谜阐明	unravel
翻译：解释	explained
翻译：触觉的	haptical
翻译：誓约的	plighted
翻译：警句家	aphorist
翻译：警察	policeman
翻译：警察	policemen
翻译：警觉的；警报	alert
翻译：警钟;警报	tocsin
翻译：计算	accounted
翻译：讨价还价	chaffer
翻译：讨厌的;粘腻的	icky
翻译：让与人	assignor
翻译：训练过的	trained
翻译：议长席	woolsack
翻译：记录间隙;间隔区	irg
翻译：记录；日志；伐木	log
翻译：记忆的痕迹	engram
翻译：记忆；存储	memory
翻译：论坛；讨论会	forum
翻译：论题;论文	thesis
翻译：设计；图样	design
翻译：设计；遗赠	devise
翻译：证实器	verifier
翻译：评论;复习	review
翻译：诊断	diagnoses
翻译：诊断	diagnosis
翻译：词法	accidence
翻译：诗;美丽的东西	poem
翻译：诡辞	quibbling
翻译：诡辩	sophistry
翻译：询问；请求	asking
翻译：语义的	semantic
翻译：诱拐	abduction
翻译：诱拐;绑走	abduct
翻译：诱拐者	abductor
翻译：说教;训诫	homily
翻译：说道（古）	sayest
翻译：诺曼底	normandy
翻译：诽谤者	libeller
翻译：课程	curricula
翻译：调制糖果	confect
翻译：调味酱	bechamel
翻译：调味酱	béchamel
翻译：调整	adjusting
翻译：调整；校准	adjust
翻译：调羹；匙形物	spoon
翻译：调试	debugging
翻译：调速轮	flywheel
翻译：调香师	perfumer
翻译：谄媚奉承	blarney
翻译：谋杀;糟蹋	murder
翻译：谋财害命	thuggee
翻译：谎言；躺下；位置	lie
翻译：谣言;误传	canard
翻译：豆的	fabaceous
翻译：豆科灌木	rhatany
翻译：豆类;豆荚	legume
翻译：豆茎	beanstalk
翻译：象征的;代币	token
翻译：象鼻虫之类	weevil
翻译：豪华的;优雅的	posh
翻译：豪猪	porcupine
翻译：豪饮者;酒徒	toper
翻译：豹;黑豹	panther
翻译：貂鼠;貂皮	marten
翻译：贝冢;堆肥	midden
翻译：贝多因人	Bedouin
翻译：负担；责任	burden
翻译：财富;财神	mammon
翻译：货船	cargoboat
翻译：贫困;贫穷	penury
翻译：贬低;降低	debase
翻译：购买	purchased
翻译：购买	purchases
翻译：贴边;饰面	facing
翻译：贵族	patrician
翻译：贺尔蒙	hormones
翻译：贻贝;蚌类	mussel
翻译：资料库	database
翻译：资源	resources
翻译：资生堂	shiseido
翻译：赎回；挽救	redeem
翻译：赔长	indemnify
翻译：赛跑者	thinclad
翻译：赛马	racehorse
翻译：赝品；刻薄的	snide
翻译：赤脚的	barefoot
翻译：赤铁矿	hematite
翻译：赦;宽恕	condone
翻译：赫必族;其语言	hopi
翻译：赭色；编织	raddle
翻译：走开;离开	skidoo
翻译：走狗;小人	flunky
翻译：走私偷运	smuggle
翻译：走私者	smuggler
翻译：起义；上升	uprise
翻译：起泡沫地	foamily
翻译：超大号	oversize
翻译：超文本标记语言	html
翻译：超越；远处	beyond
翻译：超过;超越	exceed
翻译：超过;逃脱	outrun
翻译：足迹	footprint
翻译：跌倒;翻滚	tumble
翻译：跑道	racetrack
翻译：跛足的	crippled
翻译：跟班；鞋匠	heeler
翻译：跨	bestraddle
翻译：跨着	astraddle
翻译：路径名	pathname
翻译：路德教	Lutheran
翻译：路透社	reuter's
翻译：跳棋	drauhghts
翻译：踝关节；割腱	hough
翻译：踝骨	anklebone
翻译：踢；反冲；抵抗	kick
翻译：蹒跚；束缚	hobble
翻译：蹦跳；活泼	tittup
翻译：蹲伏；蜷缩	crouch
翻译：身体丰满的	zaftig
翻译：身体的	corporal
翻译：车叶草	woodruff
翻译：轨迹线	trochoid
翻译：转向；改变方向	veer
翻译：转换的	switched
翻译：转环；旋转	swivel
翻译：转移	diversion
翻译：转移	metastase
翻译：转移;娱乐	divert
翻译：轭式修饰法	zeugma
翻译：轭；束缚；结合	yoke
翻译：软木斛	corkwood
翻译：软磁盘操作系统	fdos
翻译：软脑膜	piamater
翻译：软骨	cartilage
翻译：轴;轴线;轴心	axes
翻译：轻吹；唠叨	tootle
翻译：轻快帆船	caravel
翻译：轻拍；正好；适时	pat
翻译：轻推；鼻触	nuzzle
翻译：轻摇；微动	jiggle
翻译：轻敲;选择;导出	tap
翻译：轻蔑的	scornful
翻译：轿车	limousine
翻译：较美丽	prettier
翻译：辅音	consonant
翻译：输出管	efferent
翻译：辛苦(痛苦)	pains
翻译：辞职;顺从	resign
翻译：边带	sidebands
翻译：边心距离	apothem
翻译：边缘;临界点	verge
翻译：边缘;边饰	edging
翻译：边缘；缝边；哼声	hem
翻译：达到;获得	attain
翻译：迅速的;急流	rapid
翻译：过去式	preterit
翻译：过度使用	overuse
翻译：过敏原	allergen
翻译：过时的	outmoded
翻译：过滤	filtering
翻译：过磅员	weighman
翻译：运动	athletics
翻译：运动	exercises
翻译：运动失调的	ataxic
翻译：运动的	athletic
翻译：运货马车夫	carter
翻译：运货马车；拖车	dray
翻译：运输	freighted
翻译：近月点	perilune
翻译：近来;最近	lately
翻译：返回	recurring
翻译：进化；发展	evolve
翻译：进口;输入	import
翻译：远地点的	apogean
翻译：远日点	aphelion
翻译：违背誓言	unswear
翻译：连接	connected
翻译：连祷;哀求	litany
翻译：连锁;连续	catena
翻译：迟;晚	lateness
翻译：迟缓的;呆呆的	logy
翻译：迟缩剂	retarder
翻译：迷惑;蛊惑	delude
翻译：迷路的；流浪	stray
翻译：迷迭香	rosemary
翻译：追随者	adherent
翻译：退缩;畏缩	blench
翻译：退缩；畏缩	flinch
翻译：适婚性	nubility
翻译：适当地	properly
翻译：适当地	suitably
翻译：逆流;退潮	reflux
翻译：选民;投票人	voter
翻译：选角不当	miscast
翻译：透明硬纱	organza
翻译：透纳	tunneling
翻译：透镜结构	lentoid
翻译：逐字地	verbatim
翻译：通便剂	aperient
翻译：通奸	fornicate
翻译：通报;通报舰	aviso
翻译：通知;告发	inform
翻译：通行权	wayleave
翻译：通配符	wildcard
翻译：速记	shorthand
翻译：造成坑洞	pitting
翻译：造物主	demiurge
翻译：造船所	shipyard
翻译：逮捕;监禁	arrest
翻译：逻辑值	logicals
翻译：道格拉斯	Douglas
翻译：道路；方法；方向	way
翻译：遗传学	genetics
翻译：遗憾;后悔	regret
翻译：遗物	reliquiae
翻译：遭受；忍受	suffer
翻译：遮阳的	adumbral
翻译：避开;远避	eschew
翻译：避开;逃开	runout
翻译：避暑;度夏	summer
翻译：那；以致；那样	that
翻译：邮局位置指示器	popi
翻译：邻接的	abutting
翻译：部分;几分	partly
翻译：都市人	urbanite
翻译：配偶;夫妻	spouse
翻译：酒保	bartender
翻译：酒窝；涟漪	dimple
翻译：酒类；液体	liquor
翻译：酒馆;客栈	tavern
翻译：酣睡的	soporous
翻译：酵母;发酵粉	yeast
翻译：酶的	enzymatic
翻译：酷冷体	cryotron
翻译：酸化	acidulate
翻译：酿造者	Brewster
翻译：醉鱼草	buddleia
翻译：醋;尖刻	vinegar
翻译：醋的;酸的	acetic
翻译：醒目的	striking
翻译：里程表	odometer
翻译：重制；翻拍	remake
翻译：重合果胶	pectose
翻译：重复	iterative
翻译：重婚者	bigamist
翻译：重建改造	rebuild
翻译：重新;再度	afresh
翻译：重新接纳	readmit
翻译：重新检查	recheck
翻译：重新涂墨水于	reink
翻译：重新着色	recolor
翻译：重新研究	restudy
翻译：重编号	renumber
翻译：重落；砰然声	flump
翻译：重装;再装	reload
翻译：重读;再读	reread
翻译：重述;改说	reword
翻译：重铸;改造	recast
翻译：重音；强调	accent
翻译：野兽；残忍的	brute
翻译：野生植物	wilding
翻译：野芥子	charlock
翻译：量油计	dipstick
翻译：金匠	goldsmith
翻译：金属箍;肩带	aglet
翻译：金皮	beryllium
翻译：金莺鸟	firebird
翻译：金衡制；特洛伊	troy
翻译：金链花	laburnum
翻译：针叶树林地带	taiga
翻译：针织品	knitwear
翻译：钟声；反复叨念	ding
翻译：钟楼	campanile
翻译：钟楼;钟塔	belfry
翻译：钟面	clockface
翻译：钢丝绳	wirerope
翻译：钢索	tightwire
翻译：钩状骨	unciform
翻译：钳子;螯	pincers
翻译：钼	molybdenum
翻译：铁制品	ironwork
翻译：铁匠	ironsmith
翻译：铁路旅行	railway
翻译：铁；熨斗；镣铐	iron
翻译：铅制品	leadwork
翻译：铅笔;画笔	pencil
翻译：铜版画	drypoint
翻译：铜绿	verdigris
翻译：铜鼓;鼓膜	timbal
翻译：铬酸盐	chromate
翻译：银金矿	electrum
翻译：铸造物	castings
翻译：铹	lawrencium
翻译：链接；环；连接	link
翻译：链轮齿	sprocket
翻译：铿锵声；叮当	clang
翻译：锁紧螺母	locknut
翻译：锝	technetium
翻译：锦葵属植物	mallow
翻译：锯子；谚语；拉锯	saw
翻译：锯木架	sawhorse
翻译：锯齿状的	serrate
翻译：锯（过去式）	sawed
翻译：镀镍；镍币	nickel
翻译：镇压压制	repress
翻译：镊子;手铐	nipper
翻译：镝	dysprosium
翻译：镶嵌物;嵌体	inlay
翻译：镶齿效应	cogging
翻译：长条图	bargraph
翻译：长统靴	jackboot
翻译：长袜	stockings
翻译：门;通路	gateway
翻译：闪光；张开；	flare
翻译：闪络	flashover
翻译：闲聊废话	twaddle
翻译：闲谈;闲话	claver
翻译：闲逛;游荡	loiter
翻译：间极	interpole
翻译：间道;侧道	byroad
翻译：闷热	mugginess
翻译：闷热地	sultrily
翻译：闻（过去式）	nosed
翻译：阈限的;	liminal
翻译：防卫兵	fencible
翻译：阳化	anodizing
翻译：阴历月	lunation
翻译：阴电子	negatron
翻译：阴谋；情节；图	plot
翻译：阶乘	factorial
翻译：阶段；逐步	phases
翻译：阻抗	impedance
翻译：阻碍；横过	thwart
翻译：阿尔及尔	Algiers
翻译：阿拉斯加州	Alaska
翻译：阿斯匹林	aspirin
翻译：附加税	supertax
翻译：附加；依恋	attach
翻译：陈列室	showroom
翻译：陈列橱	showcase
翻译：陈旧的	shopworn
翻译：陈腔滥调	cliches
翻译：陈腔滥调	clichés
翻译：降落;点燃	alight
翻译：限制的	limiting
翻译：限流器	amperite
翻译：院长;主持牧师	dean
翻译：院长职	deanship
翻译：除气	degassing
翻译：陨星	meteorite
翻译：陵墓	mausoleum
翻译：陶器制造	potting
翻译：陶土;白粘土	argil
翻译：陷于泥沼的	bogged
翻译：隐秘的	stealthy
翻译：难语症	dyslexia
翻译：雀跃；蹦跳	gambol
翻译：雄赤松鸡	gorcock
翻译：集团化	trustify
翻译：雇用；使用	employ
翻译：雌激素	estrogen
翻译：雌激素酮	estrone
翻译：雏鸟；矮胖的	squab
翻译：雕刻家	sculptor
翻译：雨学	ombrology
翻译：雨水	rainwater
翻译：雨；下雨；雨水	rain
翻译：雪尔帕人	Sherpas
翻译：雪崩	snowslide
翻译：雪橇；锤击	sledge
翻译：雪莓	snowberry
翻译：雪；雪白；覆盖	snow
翻译：零件(部份)	parts
翻译：零售；转述	retail
翻译：零星的	sporadic
翻译：雷管	detonator
翻译：雾信号器	megafog
翻译：雾；朦胧；模糊	mist
翻译：需求；查询	demand
翻译：震动;颤动	tremor
翻译：霉臭	fustiness
翻译：霉臭	moldiness
翻译：露出牙齿的	toothy
翻译：露营野营	bivouac
翻译：青年;少年;老友	lad
翻译：青春期前	preteen
翻译：青氨	cyanamide
翻译：青鱼;鲱	herring
翻译：静伏特	statvolt
翻译：靛青漂白粉	bluing
翻译：非整除	aliquant
翻译：非法占有	detinue
翻译：非白人	nonwhite
翻译：非金属	nonmetal
翻译：面容;外观	facies
翻译：面容；面对；朝	face
翻译：面条;笨蛋	noodle
翻译：面板；陪审团	panel
翻译：面饼锅	pattypan
翻译：鞭柄	whipstock
翻译：韧化	annealing
翻译：韧带	ligaments
翻译：音乐会	musicale
翻译：音响的强度单位	phon
翻译：音色;音质	timbre
翻译：页岩;泥板岩	shale
翻译：顶部;首位;高出	top
翻译：顺从;答应	comply
翻译：顺便	passingly
翻译：顺利地	smoothly
翻译：顽固分子	diehard
翻译：颂歌;欢乐歌	carol
翻译：预先加热	preheat
翻译：预存储	prestore
翻译：领事的	consular
翻译：领域;范围	scopes
翻译：领带夹	stickpin
翻译：频带	bandwidth
翻译：频率	frequency
翻译：颓废	decadence
翻译：颓废派	decadent
翻译：额外价格	permium
翻译：颧骨	cheekbone
翻译：风流子	Casanova
翻译：风疹	urticaria
翻译：飒飒声;低语	sough
翻译：飞机	aeroplane
翻译：飞机场	airfield
翻译：飞艇	dirigible
翻译：飞行;逃跑	flight
翻译：食品杂货	grocery
翻译：食米鸟	reedbird
翻译：食米鸟	ricebird
翻译：食蚁兽	anteater
翻译：食道	esophagus
翻译：餐具	tableware
翻译：餐后甜点	dessert
翻译：饥饿;挨饿	famish
翻译：饥饿；渴望	hunger
翻译：饮品	drinkable
翻译：饮酒；小酌	tipple
翻译：饰以珠宝	bejewel
翻译：饰面；虚饰	veneer
翻译：饱和剂	saturant
翻译：饲料	feedstuff
翻译：饼状的;凝固的	caky
翻译：饿死了	famished
翻译：馅饼皮	piecrust
翻译：馅饼；杂乱；饼图	pie
翻译：首次展示	rollout
翻译：首领；主要的	chief
翻译：香炉	incensory
翻译：香；激怒	incense
翻译：马丁;岩燕	martin
翻译：马勒;缰绳	bridle
翻译：马夫	stableman
翻译：马尾巴	ponytail
翻译：马尾藻	gulfweed
翻译：马来	Malaysian
翻译：马梳	currycomb
翻译：马的;爱马的	horsy
翻译：马肉	horsemeat
翻译：马赫主义	machism
翻译：马车夫	coachman
翻译：马里兰	Maryland
翻译：马鞭	horsewhip
翻译：马齿苋	purslane
翻译：驮马	packhorse
翻译：驯服的;顺从的	tame
翻译：驱动程序	drivers
翻译：驱散;驱逐	dispel
翻译：驱逐;消除	banish
翻译：驱除虱子	delouse
翻译：驳倒;反驳	refute
翻译：驳回诉讼	nonsuit
翻译：驴叫;傻笑	heehaw
翻译：驼背	hunchback
翻译：骄傲的	orgulous
翻译：验证;校验	verify
翻译：骚动；困扰	pother
翻译：骨化；硬化	ossify
翻译：骨学	osteology
翻译：高估	overvalue
翻译：高原	tableland
翻译：高地;非常	highly
翻译：高粱	broomcorn
翻译：高级教士	prelate
翻译：高贵的;时髦的	tony
翻译：高速公路	freeway
翻译：魅力；迷惑	glamor
翻译：鱼叉捕获	harpoon
翻译：鱼夫	filherman
翻译：鱼形	ichthyoid
翻译：鱼曹白鱼之类	cisco
翻译：鱼纸	fishpaper
翻译：鱼鹰	ossifrage
翻译：鲈科之鱼	grouper
翻译：鲑科的幼鱼	samlet
翻译：鲤鱼类淡水鱼	tench
翻译：鲶鱼类	hornpout
翻译：鳄鱼	crocodile
翻译：鳕的一种	haddock
翻译：鸟喙骨	coracoid
翻译：鸟类的一种	towhee
翻译：鸟类的一种	turbit
翻译：鸟鸣声;推文	tweet
翻译：鸡奸者	sodomite
翻译：鸡尾酒	cocktail
翻译：鸡笼;埘	hencoop
翻译：鸦片酊	laudanum
翻译：鸬鹚	cormorant
翻译：鹦鹉的一种	kakapo
翻译：鹧鸪	partridge
翻译：鹰;鹰状标饰	eagle
翻译：鹰钩鼻	hooknose
翻译：鹳;鹳毛	marabou
翻译：麝香蔷薇	muskrat
翻译：麦克斯韦	Maxwell
翻译：麦得斯大富王	midas
翻译：麦角症;麦角	ergot
翻译：麻;大麻;纤维	hemp
翻译：黄油；涂抹	butter
翻译：黄色的	xanthous
翻译：黄褐色的	fulvous
翻译：黄貂鱼	stingray
翻译：黄酸盐	xanthate
翻译：黎明前的	predawn
翻译：黏度	viscocity
翻译：黏度	viscosity
翻译：黑丧章;绉纱	crape
翻译：黑人住宅区	Harlem
翻译：黑变病	melanism
翻译：黑白混血儿	griffe
翻译：黑矽石;角岩	chert
翻译：黑色的小乳牛	Kerry
翻译：黑话；伪善之言	Cant
翻译：黑貂皮	zibeline
翻译：黑麦草	ryegrass
翻译：默读的	subvocal
翻译：鼠李	buckthorn
翻译：鼠李	ceanothus
翻译：鼠鲨	porbeagle
翻译：鼠；变节；破坏者	rat
翻译：鼻子	schnozzle
翻译：鼻烟之一种	rappee
翻译：鼻烟盒	snuffbox
翻译：齐奏；和谐	unison
翻译：齿擦音	sibilant
翻译：齿槽音	alveolar
翻译：齿龈溃疡	gumboil
翻译：齿龈的	gingival
翻译：龋;骨溃疡	caries
翻译：龙头;旋塞	faucet
翻译：龙舌兰属植物	agave
翻译：龙芽草	agrimony
翻译：龙虾	langouste
翻译：龙虾的一种	scampi
翻译：龟头;阴茎头	glans
翻译：龟鳖类	terrapin
翻译：(使)耸入天空	ensky
翻译：Anne的昵称	Annie
翻译：K位元组	kilobyte
翻译：Mary的昵称	polly
翻译：Troy末代王	priam
翻译：UNIX操作系统	Unix
翻译：WWW的开发单位	CERN
翻译：X窗口系统	xwindow
翻译：can的过去式	could
翻译：cousin的缩写	coz
翻译：curia的	curial
翻译：grow的过去式	grew
翻译：g粒子(中间子)	muon
翻译：know的过去式	knew
翻译：lie的过去分词	lain
翻译：life的复数	lives
翻译：ride的过去式	rode
翻译：ring的过去式	rang
翻译：see的过去分词	seen
翻译：sing的过去式	sang
翻译：sink的过去式	sank
翻译：swim的过去式	swam
翻译：take的过去式	took
翻译：tear的过去式	tore
翻译：一个；一致的；完整	one
翻译：一价的	univalent
翻译：一切	everything
翻译：一夫多妻	polygyny
翻译：一斥拒极	repeller
翻译：一次；曾经；一旦	once
翻译：一氧化物	monoxide
翻译：一百二十	sixscore
翻译：一瞥；瞥见	glimpse
翻译：一种化学元素	ionium
翻译：一种半统靴	blucher
翻译：一种大腊肠	bologna
翻译：一种小鸟	amadavat
翻译：一种河船	keelboat
翻译：一种纸牌戏	bezique
翻译：一种纸牌戏	cassino
翻译：一种轻钢盔	basinet
翻译：一种食用鱼	hogfish
翻译：七极真空管	heptode
翻译：万岁（欢呼）	hooray
翻译：万物有灵论	animism
翻译：丈夫；节俭	husband
翻译：三K党徒	Klansman
翻译：三价的	trivalent
翻译：三位一体	triunity
翻译：三叠纪的	Triassic
翻译：三指鸥	kittiwake
翻译：三桅小帆船	felucca
翻译：三桅帆船;船	barque
翻译：三氧化物	trioxide
翻译：三盐基的	tribasic
翻译：三翼飞机	triplane
翻译：三聚氰胺	melamine
翻译：三色的	trichrome
翻译：三裂的	trilobate
翻译：三趾	sanderling
翻译：三面体	trihedron
翻译：上升;上坡路	ascent
翻译：上升;上涨;发生	rise
翻译：上升;趋势	uptrend
翻译：上爪;假蹄	dewclaw
翻译：上瘾的	addictive
翻译：上衣后摆	coattail
翻译：上诉者	appellant
翻译：上釉的	enamelled
翻译：下午茶时间	teatime
翻译：下层的	subjacent
翻译：下毛毛雨的	drizzly
翻译：下沉;消沉;堕落	sink
翻译：下游	downstream
翻译：下降;袭击	descend
翻译：下雨的;多雨的	rainy
翻译：不一致	disparity
翻译：不一致;不同	differ
翻译：不久;立刻;以后	anon
翻译：不予重视	downplay
翻译：不卫生的	epinosic
翻译：不变地	immutably
翻译：不同的	defferent
翻译：不同的	different
翻译：不太可能	unlidely
翻译：不定期航班	nonsked
翻译：不寻常的;陌生的	unco
翻译：不幸地	unhappily
翻译：不戴帽子的	hatless
翻译：不满	discontent
翻译：不祥；凶兆	ominous
翻译：不稳定的	unstable
翻译：不论谁的	whosever
翻译：不谨慎地	unwarily
翻译：不锈的	rustproof
翻译：不高兴	grouchily
翻译：世界末日	doomsday
翻译：世界语	Esperanto
翻译：世纪;百个	century
翻译：丘陵地;高地	upland
翻译：丙烷基;丙基	propyl
翻译：丛毛;球节	fetlock
翻译：丝带；花边；跛行	gimp
翻译：丢失；失败；沉溺	lose
翻译：丢弃；垫牌	discard
翻译：两党连合的	biparty
翻译：两半的;两裂的	bifid
翻译：两字母一音	digraph
翻译：两星期	fortnight
翻译：两面凸的	biconvex
翻译：两项竞赛	biathlon
翻译：中心（英式）	centre
翻译：中性元音的名称	schwa
翻译：中毒的	toxicosis
翻译：中线	centerline
翻译：中线	centreline
翻译：中耳;鼓膜	eardrum
翻译：中途停留	stopover
翻译：中间人	middleman
翻译：中骨	metatarsus
翻译：丰富；充足的	plenty
翻译：丹倍体	monoploid
翻译：丹毒	erysipelas
翻译：丹麦税赋	danegeld
翻译：主妇	housewives
翻译：主席团	presidium
翻译：主教的	episcopal
翻译：主根;直根	taproot
翻译：主流	mainstream
翻译：主要；干线；体力	main
翻译：主轴承	headstock
翻译：举起;提高	upraise
翻译：乏味的;平淡的	vapid
翻译：乐意；宁愿；欣然	fain
翻译：乐队队员	bandsman
翻译：乖戾的；阴沉的	surly
翻译：乘机；装舱	emplane
翻译：乙醇;酒精	ethanol
翻译：乞丐	panhandler
翻译：也许;大概	perhaps
翻译：习惯;体质	habitus
翻译：乡下人	villagers
翻译：乡下佬	hayshaker
翻译：乡下风味	ruralism
翻译：书商	bookseller
翻译：书本知识	booklore
翻译：书签	bookmarker
翻译：买办	compradore
翻译：乱射;抨击	potshot
翻译：乾燥剂	desiccant
翻译：争吵；争论	wrangle
翻译：争论者	disputant
翻译：事实;真相;行为	fact
翻译：事实上	virtually
翻译：二倍的;双重的	duple
翻译：二元的	dualistic
翻译：二次曲面	conicoid
翻译：二重奏者	duettist
翻译：二重彩色胶片	bipack
翻译：亏欠;负债;感恩	owes
翻译：云梯攻城	escalade
翻译：云雀；嬉耍；欢乐	lark
翻译：云；模糊；忧色	cloud
翻译：互助；合作	logroll
翻译：五朔节花柱	maypole
翻译：五行民谣	limerick
翻译：亚利桑那州	Arizona
翻译：亚微米	submicron
翻译：亚甲基	methylene
翻译：亚硫酸盐	sulphite
翻译：亚种	subspecies
翻译：交媾;性交	coition
翻译：交换器	exchanger
翻译：交易；处理；协定	deal
翻译：交通;交易	traffic
翻译：交错骨;尖顶拱	ogive
翻译：产科的	obstetric
翻译：亨利(男子名)	henry
翻译：享乐主义的	hedonic
翻译：亭;凉亭;报摊	kiosk
翻译：亮度	luminosity
翻译：人种学	ethnology
翻译：人类;男性	mankind
翻译：人造物品	artefact
翻译：人造物品	artifact
翻译：什一税；小部分	tithe
翻译：仆从；奉承者	lackey
翻译：仇敌;反对者;敌人	foe
翻译：从前；昔日的	whilom
翻译：从容的	unhurried
翻译：他们;她们;它们	them
翻译：他治	heteronomy
翻译：仙人掌的一种	cereus
翻译：仙人掌的一种	cholla
翻译：仟秒	kilosecond
翻译：代理人;代表	deputy
翻译：代码；密码；法规	code
翻译：令人惊异的	amazing
翻译：以上;向上	upwards
翻译：以免;因恐;免得	lest
翻译：以斯拉;以斯拉记	Ezra
翻译：以票数胜过	outvote
翻译：任人唯亲的	nepotic
翻译：任何地方	anyplace
翻译：任务；工作；作业	task
翻译：企业	enterprise
翻译：伊利诺州	Illinois
翻译：伊拉斯塔斯	Erastus
翻译：伊斯坦堡	Istanbul
翻译：伏特计	voltmeter
翻译：休息;剩余;支撑	rest
翻译：休息室；懒躺	lounge
翻译：优先的;较早的	prior
翻译：优生学家	eugenist
翻译：会厌	epiglottis
翻译：会惹起的	causable
翻译：会接;搭接	bonding
翻译：会议	conference
翻译：会议;会面	meeting
翻译：会议的	conciliar
翻译：会面；满足；应对	meet
翻译：伞兵	skytrooper
翻译：伞状帽;菌盖	pileus
翻译：传导	conduction
翻译：传票；召唤	summons
翻译：伤了脚的	footsore
翻译：伤亡	casualties
翻译：伪誓;伪证	perjury
翻译：伪造;篡改	falsify
翻译：伯爵的身分	earldom
翻译：估定的款项;税赋	scot
翻译：估计	estimating
翻译：估计的	estimated
翻译：伸出的礼拜堂	chevet
翻译：伺服;伺服系统	servo
翻译：但丁风格的	dantean
翻译：低迷时期	downturn
